kernel,mesh_width,mesh_height,nb_iterations,nb_repeat,rep,timing,check_status
stencil_avx2,15,10,100,10,4,4.622900e-05,0
stencil_avx2,15,10,100,10,5,4.602100e-05,0
stencil_avx2,15,10,100,10,6,4.579000e-05,0
stencil_avx2,15,10,100,10,7,4.603400e-05,0
stencil_avx2,15,10,100,10,8,5.286500e-05,0
stencil_avx2,15,10,100,10,9,4.595600e-05,0
stencil_avx2,15,15,100,10,0,9.227800e-05,0
stencil_avx2,15,15,100,10,1,8.578600e-05,0
stencil_avx2,15,15,100,10,2,9.582400e-05,0
stencil_avx2,15,15,100,10,3,8.547400e-05,0
stencil_avx2,15,15,100,10,4,8.544900e-05,0
stencil_avx2,15,15,100,10,5,8.546300e-05,0
stencil_avx2,15,15,100,10,6,8.552900e-05,0
stencil_avx2,15,15,100,10,7,8.552900e-05,0
stencil_avx2,15,15,100,10,8,1.003440e-04,0
stencil_avx2,15,15,100,10,9,8.543700e-05,0
stencil_avx2,15,20,100,10,0,7.065700e-05,0
stencil_avx2,15,20,100,10,1,5.504600e-05,0
stencil_avx2,15,20,100,10,2,5.492800e-05,0
stencil_avx2,15,20,100,10,3,5.494600e-05,0
stencil_avx2,15,20,100,10,4,6.489300e-05,0
stencil_avx2,15,20,100,10,5,5.488000e-05,0
stencil_avx2,15,20,100,10,6,5.485500e-05,0
stencil_avx2,15,20,100,10,7,5.484500e-05,0
stencil_avx2,15,20,100,10,8,5.488100e-05,0
stencil_avx2,15,20,100,10,9,5.484600e-05,0
stencil_avx2,15,25,100,10,0,7.749000e-05,0
stencil_avx2,15,25,100,10,1,6.016300e-05,0
stencil_avx2,15,25,100,10,2,7.281200e-05,0
stencil_avx2,15,25,100,10,3,6.015100e-05,0
stencil_avx2,15,25,100,10,4,6.006400e-05,0
stencil_avx2,15,25,100,10,5,6.005700e-05,0
stencil_avx2,15,25,100,10,6,6.029200e-05,0
stencil_avx2,15,25,100,10,7,6.016700e-05,0
stencil_avx2,15,25,100,10,8,6.019400e-05,0
stencil_avx2,15,25,100,10,9,6.022400e-05,0
stencil_avx2,15,30,100,10,0,1.069260e-04,0
stencil_avx2,15,30,100,10,1,9.045700e-05,0
stencil_avx2,15,30,100,10,2,9.049600e-05,0
stencil_avx2,15,30,100,10,3,9.050900e-05,0
stencil_avx2,15,30,100,10,4,9.044100e-05,0
stencil_avx2,15,30,100,10,5,9.579100e-05,0
stencil_avx2,15,30,100,10,6,9.054900e-05,0
stencil_avx2,15,30,100,10,7,9.054400e-05,0
stencil_avx2,15,30,100,10,8,9.051900e-05,0
stencil_avx2,15,30,100,10,9,9.053700e-05,0
stencil_avx2,15,35,100,10,0,1.552230e-04,0
stencil_avx2,15,35,100,10,1,1.482410e-04,0
stencil_avx2,15,35,100,10,2,1.479500e-04,0
stencil_avx2,15,35,100,10,3,1.481210e-04,0
stencil_avx2,15,35,100,10,4,1.480990e-04,0
stencil_avx2,15,35,100,10,5,1.481100e-04,0
stencil_avx2,15,35,100,10,6,1.480660e-04,0
stencil_avx2,15,35,100,10,7,1.481020e-04,0
stencil_avx2,15,35,100,10,8,1.480330e-04,0
stencil_avx2,15,35,100,10,9,1.480700e-04,0
stencil_avx2,15,40,100,10,0,1.136070e-04,0
stencil_avx2,15,40,100,10,1,9.831200e-05,0
stencil_avx2,15,40,100,10,2,9.832800e-05,0
stencil_avx2,15,40,100,10,3,9.835200e-05,0
stencil_avx2,15,40,100,10,4,9.838200e-05,0
stencil_avx2,15,40,100,10,5,9.855900e-05,0
stencil_avx2,15,40,100,10,6,1.038280e-04,0
stencil_avx2,15,40,100,10,7,9.830900e-05,0
stencil_avx2,15,40,100,10,8,9.819800e-05,0
stencil_avx2,15,40,100,10,9,9.846100e-05,0
stencil_avx2,15,45,100,10,0,1.367230e-04,0
stencil_avx2,15,45,100,10,1,1.099300e-04,0
stencil_avx2,15,45,100,10,2,1.099210e-04,0
stencil_avx2,15,45,100,10,3,1.100650e-04,0
stencil_avx2,15,45,100,10,4,1.160300e-04,0
stencil_avx2,15,45,100,10,5,1.103610e-04,0
stencil_avx2,15,45,100,10,6,1.100550e-04,0
stencil_avx2,15,45,100,10,7,1.100900e-04,0
stencil_avx2,15,45,100,10,8,1.138790e-04,0
stencil_avx2,15,45,100,10,9,1.099080e-04,0
stencil_avx2,15,50,100,10,0,1.604810e-04,0
stencil_avx2,15,50,100,10,1,1.568490e-04,0
stencil_avx2,15,50,100,10,2,1.436250e-04,0
stencil_avx2,15,50,100,10,3,1.437030e-04,0
stencil_avx2,15,50,100,10,4,1.485420e-04,0
stencil_avx2,15,50,100,10,5,1.438220e-04,0
stencil_avx2,15,50,100,10,6,1.435560e-04,0
stencil_avx2,15,50,100,10,7,1.436350e-04,0
stencil_avx2,15,50,100,10,8,1.435530e-04,0
stencil_avx2,15,50,100,10,9,1.438360e-04,0
stencil_avx2,15,100,100,10,0,2.973330e-04,0
stencil_avx2,15,100,100,10,1,2.684660e-04,0
