kernel,mesh_width,mesh_height,nb_repeat,cores,dram
stencil,10,10,10,0.43990,0.14510
stencil,10,15,10,0.44190,0.14530
stencil,10,20,10,0.39750,0.13010
stencil,10,25,10,0.43370,0.13720
stencil,10,30,10,0.48760,0.16040
stencil,10,35,10,0.48990,0.15930
stencil,10,40,10,0.61410,0.20250
stencil,10,45,10,0.65000,0.22020
stencil,10,50,10,0.66060,0.21560
stencil,10,100,10,0.88480,0.29600
stencil,10,1000,10,5.37530,1.61370
stencil,10,2000,10,9.83610,2.78010
stencil,15,5,10,0.40280,0.13270
stencil,15,10,10,0.48180,0.15950
stencil,15,15,10,0.50780,0.16970
stencil,15,20,10,0.56860,0.19080
stencil,15,25,10,0.52860,0.17530
stencil,15,30,10,0.59410,0.19790
stencil,15,35,10,0.59180,0.19620
stencil,15,40,10,0.70000,0.23280
stencil,15,45,10,0.77660,0.25260
stencil,15,50,10,0.74250,0.24560
stencil,15,100,10,1.09680,0.36820
stencil,15,1000,10,10.32540,3.01090
stencil,15,2000,10,24.66090,6.77850
stencil,20,5,10,0.39610,0.13160
stencil,20,10,10,0.44420,0.15180
stencil,20,15,10,0.47230,0.15340
stencil,20,20,10,0.54840,0.18090
stencil,20,25,10,0.64710,0.21730
stencil,20,30,10,0.61100,0.20530
stencil,20,35,10,0.82090,0.27700
stencil,20,40,10,0.86260,0.29030
stencil,20,45,10,0.83890,0.28090
stencil,20,50,10,0.80080,0.26230
stencil,20,100,10,1.39970,0.47200
stencil,20,1000,10,14.87340,4.16220
stencil,20,2000,10,40.28560,10.88490
stencil,25,5,10,0.44780,0.15410
stencil,25,10,10,0.48460,0.15960
stencil,25,15,10,0.55820,0.18790
stencil,25,20,10,0.57680,0.18820
stencil,25,25,10,0.66150,0.21050
stencil,25,30,10,0.73760,0.24590
stencil,25,35,10,0.89110,0.29630
stencil,25,40,10,0.85580,0.28050
stencil,25,45,10,0.87140,0.28810
stencil,25,50,10,1.11790,0.37720
stencil,25,100,10,1.66710,0.56680
stencil,25,1000,10,22.19070,5.99550
stencil,25,2000,10,65.28230,15.13840
stencil,30,5,10,0.44090,0.15230
stencil,30,10,10,0.50940,0.16820
stencil,30,15,10,0.53150,0.17440
stencil,30,20,10,0.71670,0.23870
stencil,30,25,10,0.67040,0.22060
stencil,30,30,10,0.95570,0.31210
stencil,30,35,10,0.91350,0.30300
stencil,30,40,10,0.87470,0.28880
stencil,30,45,10,1.11810,0.37670
stencil,30,50,10,1.05320,0.34910
stencil,30,100,10,1.62780,0.53830
stencil,30,1000,10,28.13910,7.66050
stencil,30,2000,10,89.26700,18.66640
stencil,35,5,10,0.44820,0.14530
stencil,35,10,10,0.55980,0.19020
stencil,35,15,10,0.58900,0.19720
stencil,35,20,10,0.55260,0.17360
stencil,35,25,10,0.82620,0.27880
stencil,35,30,10,0.81920,0.26640
stencil,35,35,10,1.07580,0.36140
stencil,35,40,10,1.10350,0.36980
stencil,35,45,10,1.18840,0.39870
stencil,35,50,10,1.14800,0.38540
stencil,35,100,10,2.06580,0.67670
stencil,35,1000,10,34.96880,9.39570
stencil,35,2000,10,106.53850,21.57060
stencil,40,5,10,0.40140,0.13000
stencil,40,10,10,0.54420,0.18130
stencil,40,15,10,0.65290,0.21730
stencil,40,20,10,0.80110,0.26870
stencil,40,25,10,0.76400,0.25600
stencil,40,30,10,1.05860,0.34820
stencil,40,35,10,1.16000,0.37550
stencil,40,40,10,1.17890,0.38440
stencil,40,45,10,1.35170,0.44750
stencil,40,50,10,1.43740,0.48730
stencil,40,100,10,2.39840,0.80740
stencil,40,1000,10,38.15610,10.05620
stencil,40,2000,10,124.18390,24.71030
stencil,45,5,10,0.44420,0.14590
stencil,45,10,10,0.57070,0.18910
stencil,45,15,10,0.63580,0.20960
stencil,45,20,10,0.81990,0.27570
stencil,45,25,10,0.90710,0.30320
stencil,45,30,10,1.01920,0.34150
stencil,45,35,10,1.22820,0.40330
stencil,45,40,10,1.39360,0.47790
stencil,45,45,10,1.55140,0.49240
stencil,45,50,10,1.62470,0.54870
stencil,45,100,10,2.20820,0.72430
stencil,45,1000,10,48.55730,12.78520
stencil,45,2000,10,143.99450,27.84670
stencil,50,5,10,0.41730,0.13160
stencil,50,10,10,0.60640,0.20340
stencil,50,15,10,0.67100,0.21820
stencil,50,20,10,0.94870,0.31300
stencil,50,25,10,0.87280,0.29120
stencil,50,30,10,1.20110,0.40320
stencil,50,35,10,1.07450,0.35650
stencil,50,40,10,1.39820,0.46370
stencil,50,45,10,1.46220,0.47880
stencil,50,50,10,1.48630,0.49260
stencil,50,100,10,2.89590,0.97260
stencil,50,1000,10,57.26580,13.65760
stencil,50,2000,10,157.10600,30.15100
stencil,100,5,10,0.73480,0.23400
stencil,100,10,10,0.81980,0.27580
stencil,100,15,10,1.12090,0.37910
stencil,100,20,10,1.21640,0.40420
stencil,100,25,10,1.69030,0.57170
stencil,100,30,10,1.92380,0.65060
stencil,100,35,10,1.76180,0.58010
stencil,100,40,10,2.52870,0.82300
stencil,100,45,10,2.73080,0.88790
stencil,100,50,10,2.83140,0.91610
stencil,100,100,10,5.28890,1.66770
stencil,100,1000,10,87.44410,20.01910
stencil,100,2000,10,247.49910,48.86340
stencil,1000,5,10,2.17370,0.72940
stencil,1000,10,10,4.47310,1.41790
stencil,1000,15,10,6.31480,1.91870
stencil,1000,20,10,8.39250,2.43040
stencil,1000,25,10,11.61550,3.33590
stencil,1000,30,10,13.32680,3.81540
stencil,1000,35,10,17.73470,4.89250
stencil,1000,40,10,24.94510,6.86810
stencil,1000,45,10,28.80400,7.84550
stencil,1000,50,10,34.61270,9.10000
stencil,1000,100,10,66.67230,16.11610
stencil,1000,1000,10,1011.50580,191.42580
stencil,1000,2000,10,5272.28620,996.13850
stencil,2000,5,10,3.53020,1.07240
stencil,2000,10,10,7.66090,2.21760
stencil,2000,15,10,12.14760,3.42530
stencil,2000,20,10,16.59750,4.51180
stencil,2000,25,10,22.20410,6.08070
stencil,2000,30,10,27.43520,7.53980
stencil,2000,35,10,32.81430,8.85730
stencil,2000,40,10,41.41210,10.88460
stencil,2000,45,10,46.04070,11.99080
stencil,2000,50,10,51.79150,12.93420
stencil,2000,100,10,106.23550,22.94550
stencil,2000,1000,10,2251.72810,430.43410
stencil,2000,2000,10,5881.89990,1151.69510
