kernel,nb_partitions,mesh_width,mesh_height,nb_iterations,nb_repeat,rep,timing,check_status
stencil_starpu,4,4096,4096,100,10,8,1.761275e+00,0
stencil_starpu,4,4096,4096,100,10,9,1.761598e+00,0
stencil_starpu,8,4096,4096,100,10,0,1.102104e+00,0
stencil_starpu,8,4096,4096,100,10,1,1.091000e+00,0
stencil_starpu,8,4096,4096,100,10,2,1.100456e+00,0
stencil_starpu,8,4096,4096,100,10,3,1.118534e+00,0
stencil_starpu,8,4096,4096,100,10,4,1.193157e+00,0
stencil_starpu,8,4096,4096,100,10,5,1.242158e+00,0
stencil_starpu,8,4096,4096,100,10,6,1.208021e+00,0
stencil_starpu,8,4096,4096,100,10,7,1.227660e+00,0
stencil_starpu,8,4096,4096,100,10,8,1.257982e+00,0
stencil_starpu,8,4096,4096,100,10,9,1.243593e+00,0
stencil_starpu,16,4096,4096,100,10,0,9.179304e-01,0
stencil_starpu,16,4096,4096,100,10,1,1.282635e+00,0
stencil_starpu,16,4096,4096,100,10,2,9.193279e-01,0
stencil_starpu,16,4096,4096,100,10,3,1.336502e+00,0
stencil_starpu,16,4096,4096,100,10,4,1.320660e+00,0
stencil_starpu,16,4096,4096,100,10,5,1.284123e+00,0
stencil_starpu,16,4096,4096,100,10,6,1.284123e+00,0
stencil_starpu,16,4096,4096,100,10,7,1.306269e+00,0
stencil_starpu,16,4096,4096,100,10,8,1.311948e+00,0
stencil_starpu,16,4096,4096,100,10,9,1.303248e+00,0
stencil_starpu,32,4096,4096,100,10,0,9.821208e-01,0
stencil_starpu,32,4096,4096,100,10,1,9.955138e-01,0
stencil_starpu,32,4096,4096,100,10,2,9.684144e-01,0
stencil_starpu,32,4096,4096,100,10,3,9.816481e-01,0
stencil_starpu,32,4096,4096,100,10,4,1.311734e+00,0
stencil_starpu,32,4096,4096,100,10,5,1.289056e+00,0
stencil_starpu,32,4096,4096,100,10,6,1.197668e+00,0
stencil_starpu,32,4096,4096,100,10,7,1.151906e+00,0
stencil_starpu,32,4096,4096,100,10,8,1.152378e+00,0
stencil_starpu,32,4096,4096,100,10,9,1.163778e+00,0
