kernel,array_len,nb_bins,nb_repeat,rep,timing,check_status
histogram,32768,16384,10,8,1.685939e-01,0
histogram,32768,16384,10,9,1.691039e-01,0
histogram,32768,32768,10,0,3.353120e-01,0
histogram,32768,32768,10,1,3.362011e-01,0
histogram,32768,32768,10,2,3.372190e-01,0
histogram,32768,32768,10,3,3.359048e-01,0
histogram,32768,32768,10,4,3.365839e-01,0
histogram,32768,32768,10,5,3.353260e-01,0
histogram,32768,32768,10,6,3.367650e-01,0
histogram,32768,32768,10,7,3.366784e-01,0
histogram,32768,32768,10,8,3.363646e-01,0
histogram,32768,32768,10,9,3.386574e-01,0
histogram,32768,65536,10,0,6.722714e-01,0
histogram,32768,65536,10,1,6.723122e-01,0
histogram,32768,65536,10,2,6.741684e-01,0
histogram,32768,65536,10,3,6.717369e-01,0
histogram,32768,65536,10,4,6.731109e-01,0
histogram,32768,65536,10,5,6.704160e-01,0
histogram,32768,65536,10,6,6.733145e-01,0
histogram,32768,65536,10,7,6.739099e-01,0
histogram,32768,65536,10,8,6.725229e-01,0
histogram,32768,65536,10,9,6.759090e-01,0
histogram,32768,131072,10,0,1.352867e+00,0
histogram,32768,131072,10,1,1.354736e+00,0
histogram,32768,131072,10,2,1.358938e+00,0
histogram,32768,131072,10,3,1.330369e+00,0
histogram,32768,131072,10,4,1.320792e+00,0
histogram,32768,131072,10,5,1.313432e+00,0
histogram,32768,131072,10,6,1.326346e+00,0
histogram,32768,131072,10,7,1.325240e+00,0
histogram,32768,131072,10,8,1.316556e+00,0
histogram,32768,131072,10,9,1.323096e+00,0
histogram,65536,4096,10,0,8.410791e-02,0
histogram,65536,4096,10,1,8.453187e-02,0
histogram,65536,4096,10,2,8.421054e-02,0
histogram,65536,4096,10,3,8.449283e-02,0
histogram,65536,4096,10,4,8.454249e-02,0
histogram,65536,4096,10,5,8.449893e-02,0
histogram,65536,4096,10,6,8.408547e-02,0
histogram,65536,4096,10,7,8.432077e-02,0
histogram,65536,4096,10,8,8.415375e-02,0
histogram,65536,4096,10,9,8.440974e-02,0
histogram,65536,8192,10,0,1.676261e-01,0
histogram,65536,8192,10,1,1.683366e-01,0
histogram,65536,8192,10,2,1.690212e-01,0
histogram,65536,8192,10,3,1.687124e-01,0
histogram,65536,8192,10,4,1.687494e-01,0
histogram,65536,8192,10,5,1.685306e-01,0
histogram,65536,8192,10,6,1.678889e-01,0
histogram,65536,8192,10,7,1.685641e-01,0
histogram,65536,8192,10,8,1.680384e-01,0
histogram,65536,8192,10,9,1.685351e-01,0
histogram,65536,16384,10,0,3.362734e-01,0
histogram,65536,16384,10,1,3.368747e-01,0
histogram,65536,16384,10,2,3.362536e-01,0
histogram,65536,16384,10,3,3.374108e-01,0
histogram,65536,16384,10,4,3.374331e-01,0
histogram,65536,16384,10,5,3.367592e-01,0
histogram,65536,16384,10,6,3.361621e-01,0
histogram,65536,16384,10,7,3.365539e-01,0
histogram,65536,16384,10,8,3.355490e-01,0
histogram,65536,16384,10,9,3.372720e-01,0
histogram,65536,32768,10,0,6.711129e-01,0
histogram,65536,32768,10,1,6.737387e-01,0
histogram,65536,32768,10,2,6.722057e-01,0
histogram,65536,32768,10,3,6.740749e-01,0
histogram,65536,32768,10,4,6.750909e-01,0
histogram,65536,32768,10,5,6.733323e-01,0
histogram,65536,32768,10,6,6.712519e-01,0
histogram,65536,32768,10,7,6.726742e-01,0
histogram,65536,32768,10,8,6.707878e-01,0
histogram,65536,32768,10,9,6.739148e-01,0
histogram,65536,65536,10,0,1.345115e+00,0
histogram,65536,65536,10,1,1.348711e+00,0
histogram,65536,65536,10,2,1.346248e+00,0
histogram,65536,65536,10,3,1.352221e+00,0
histogram,65536,65536,10,4,1.351916e+00,0
histogram,65536,65536,10,5,1.349524e+00,0
histogram,65536,65536,10,6,1.344059e+00,0
histogram,65536,65536,10,7,1.350398e+00,0
histogram,65536,65536,10,8,1.344555e+00,0
histogram,65536,65536,10,9,1.349675e+00,0
histogram,65536,131072,10,0,2.708281e+00,0
histogram,65536,131072,10,1,2.715391e+00,0
histogram,65536,131072,10,2,2.711945e+00,0
histogram,65536,131072,10,3,2.716841e+00,0
histogram,65536,131072,10,4,2.720413e+00,0
histogram,65536,131072,10,5,2.717162e+00,0
histogram,65536,131072,10,6,2.708081e+00,0
histogram,65536,131072,10,7,2.712613e+00,0
histogram,65536,131072,10,8,2.707218e+00,0
histogram,65536,131072,10,9,2.717423e+00,0
histogram,131072,4096,10,0,1.684976e-01,0
histogram,131072,4096,10,1,1.686663e-01,0
histogram,131072,4096,10,2,1.694684e-01,0
histogram,131072,4096,10,3,1.685591e-01,0
histogram,131072,4096,10,4,1.685475e-01,0
histogram,131072,4096,10,5,1.684880e-01,0
histogram,131072,4096,10,6,1.681729e-01,0
histogram,131072,4096,10,7,1.687944e-01,0
